data_num1,data_num2,distance,path_quality,path_smoothness
0,1,4.542319276377688,6.048328876032324,0.09923831711843166
0,2,1.3205697102952265,1.965848091462211,0.05922542878238216
0,3,3.346970572799686,4.515753947428148,0.09556126594306989
0,4,2.917930573257867,3.9677680281866223,0.09181978162643446
0,5,0.4818513272465328,0.7709621235944525,0.040551457630553546
0,6,0.12646642922945348,0.24327222844832366,0.004059775206175796
0,7,0.5005588521044716,0.8437092601509334,0.02629228563373095
0,8,0.4282878311143831,0.7307661118389164,0.02572070407049738
0,9,4.179270145896896,5.485292066489676,0.10729753552623271
0,10,1.2592070142263994,1.8127046028973437,0.07140843382893583
0,11,0.5665812312694066,0.9692458799074126,0.026501486490667515
0,12,2.6360646367711142,3.7513227523281243,0.07813969745893004
0,13,0.31546023339754636,0.6217766919140044,0.007941542418652088
0,14,0.41034808490639646,0.689681419812558,0.02561890744619623
0,15,1.7548564541700604,2.531596196179759,0.06907277288432333
0,16,0.8701205294125125,1.483667056562361,0.03049325189770781
0,17,4.330373671850749,5.735441724951258,0.10864747781240297
0,18,0.8233958616403019,1.2513756315324356,0.05438303497698776
0,19,0.0928632791696446,0.16595566664510675,0.015136898563259924
0,20,0.47327648271504635,0.8531431333152811,0.019367094454575604
0,21,0.44031167244688196,0.7942877228453556,0.017758276561497498
0,22,0.44622312277063325,0.7613682032273931,0.024908564339107025
0,23,0.9780915989029151,1.54106292617843,0.04516398627030582
0,24,0.26805713261964664,0.45717719551080843,0.020601872127268606
0,25,0.3556603425574182,0.7113206851148363,0.007404817777205818
0,26,3.310276377263328,4.605601916192457,0.08639331049218306
0,27,2.751865812762862,3.9202557667850826,0.07906252211229718
0,28,3.540491429413598,4.689760898647331,0.10252844998583176
0,29,0.5894320599098174,1.000579114044443,0.02916981546874976
0,30,1.3927294660141178,2.129115160688249,0.05448866708395738
0,31,4.717814076687749,5.975897830471149,0.12466283265293392
0,32,2.3888846641201145,3.364988075265968,0.07849983816270362
0,33,0.4539723300654107,0.7510159534415436,0.029002415932881727
0,34,0.8035972258266371,1.322995432763366,0.03517793290283514
0,35,0.2024884267302528,0.4020633509176244,0.004062009448928534
0,36,1.5030118646111403,2.2416348380771858,0.060273569217197266
0,37,0.9136890163310428,1.4565277848571327,0.041194484592194824
0,38,3.568211258470182,4.821907106040786,0.09524630773257947
0,39,1.5378339117333637,2.230704135701143,0.06902174862056112
0,40,0.2632494012116583,0.47144010413068194,0.015228476363495691
0,41,3.503138344337715,4.85489281416368,0.08981280504768772
0,42,0.9191163218543423,1.415230245582539,0.04891886532540547
0,43,0.5720053011710489,0.9486917190153981,0.03233199831126024
0,44,1.3292660808813517,2.08772966820777,0.049362860477765134
0,45,0.5140217506774704,0.8341311043927814,0.03460685097821358
0,46,0.8551005503455775,1.3824978957682987,0.03808363252401497
0,47,3.7358759790419995,4.7788870391806295,0.10589814450142505
0,48,4.08718041347448,5.4860015175513075,0.10186744447833881
0,49,0.5439308732170155,0.8933652523746131,0.03236530194533122
0,50,1.1128498612748756,1.7925545669637215,0.04322003584099648
0,51,1.4633554173984356,2.107549921796659,0.070404942685781
0,52,0.20199989549925493,0.38310325008479396,0.007724848546175195
0,53,5.095986590288721,6.555774415631848,0.12014538276420411
0,54,1.1457865139637273,1.778633716443693,0.04837872840961122
0,55,5.302706019832119,6.561429165953885,0.1272331495485409
0,56,4.427487566268509,5.795140793545171,0.1000942334910438
0,57,0.9318920500009861,1.424312280967416,0.05212367196009765
0,58,1.2667101449888334,1.9000652174832506,0.058263227438790116
0,59,0.49349814837439226,0.8769807859646843,0.01865437128502891
0,60,3.99147024564948,5.190979438642588,0.10991868544360178
0,61,1.8083883343129976,2.7176909430918506,0.06078904634135844
0,62,0.29413949107021337,0.5302251352186742,0.014408588519362539
0,63,1.6870025216129996,2.4073981930044974,0.07188118989318185
